filename,tumor_type,split
P_746_SP_.jpg,pituitary,train,train/pituitary/P_746_SP_.jpg
Te-pi_0019.jpg,pituitary,train,train/pituitary/Te-pi_0019.jpg
Te-pi_0031.jpg,pituitary,train,train/pituitary/Te-pi_0031.jpg
1192.jpg,pituitary,train,train/pituitary/1192.jpg
1186.jpg,pituitary,train,train/pituitary/1186.jpg
Tr-pi_1394.jpg,pituitary,train,train/pituitary/Tr-pi_1394.jpg
Te-pi_0025.jpg,pituitary,train,train/pituitary/Te-pi_0025.jpg
Tr-pi_0115.jpg,pituitary,train,train/pituitary/Tr-pi_0115.jpg
Tr-pi_0673.jpg,pituitary,train,train/pituitary/Tr-pi_0673.jpg
P_805_RO_.jpg,pituitary,train,train/pituitary/P_805_RO_.jpg
Tr-pi_0667.jpg,pituitary,train,train/pituitary/Tr-pi_0667.jpg
P_815_RO_.jpg,pituitary,train,train/pituitary/P_815_RO_.jpg
Tr-pi_0101.jpg,pituitary,train,train/pituitary/Tr-pi_0101.jpg
P_7_SP_.jpg,pituitary,train,train/pituitary/P_7_SP_.jpg
Tr-pi_0129.jpg,pituitary,train,train/pituitary/Tr-pi_0129.jpg
Te-pi_0186.jpg,pituitary,train,train/pituitary/Te-pi_0186.jpg
Tr-pi_1237.jpg,pituitary,train,train/pituitary/Tr-pi_1237.jpg
P_734_SP_.jpg,pituitary,train,train/pituitary/P_734_SP_.jpg
p (573).jpg,pituitary,train,train/pituitary/p (573).jpg
P_724_SP_.jpg,pituitary,train,train/pituitary/P_724_SP_.jpg
Tr-pi_1223.jpg,pituitary,train,train/pituitary/Tr-pi_1223.jpg
Te-pi_0192.jpg,pituitary,train,train/pituitary/Te-pi_0192.jpg
Te-pi_0179.jpg,pituitary,train,train/pituitary/Te-pi_0179.jpg
Te-pi_0145.jpg,pituitary,train,train/pituitary/Te-pi_0145.jpg
P_784_BR_.jpg,pituitary,train,train/pituitary/P_784_BR_.jpg
P_743_HF_.jpg,pituitary,train,train/pituitary/P_743_HF_.jpg
Tr-pi_0698.jpg,pituitary,train,train/pituitary/Tr-pi_0698.jpg
Te-pi_0151.jpg,pituitary,train,train/pituitary/Te-pi_0151.jpg
P_753_HF_.jpg,pituitary,train,train/pituitary/P_753_HF_.jpg
P_794_BR_.jpg,pituitary,train,train/pituitary/P_794_BR_.jpg
P_750.jpg,pituitary,train,train/pituitary/P_750.jpg
Tr-pi_0471.jpg,pituitary,train,train/pituitary/Tr-pi_0471.jpg
P_719_DA_.jpg,pituitary,train,train/pituitary/P_719_DA_.jpg
Tr-pi_1009.jpg,pituitary,train,train/pituitary/Tr-pi_1009.jpg
Tr-pi_0317.jpg,pituitary,train,train/pituitary/Tr-pi_0317.jpg
P_836_HF_.jpg,pituitary,train,train/pituitary/P_836_HF_.jpg
Tr-pi_0303.jpg,pituitary,train,train/pituitary/Tr-pi_0303.jpg
Tr-pi_0465.jpg,pituitary,train,train/pituitary/Tr-pi_0465.jpg
P_826_HF_.jpg,pituitary,train,train/pituitary/P_826_HF_.jpg
P_744.jpg,pituitary,train,train/pituitary/P_744.jpg
p (524).jpg,pituitary,train,train/pituitary/p (524).jpg
Tr-pi_1035.jpg,pituitary,train,train/pituitary/Tr-pi_1035.jpg
Tr-pi_1021.jpg,pituitary,train,train/pituitary/Tr-pi_1021.jpg
P_778.jpg,pituitary,train,train/pituitary/P_778.jpg
Tr-pi_0459.jpg,pituitary,train,train/pituitary/Tr-pi_0459.jpg
P_793.jpg,pituitary,train,train/pituitary/P_793.jpg
P_841_SP_.jpg,pituitary,train,train/pituitary/P_841_SP_.jpg
P_787.jpg,pituitary,train,train/pituitary/P_787.jpg
P_71_RO_.jpg,pituitary,train,train/pituitary/P_71_RO_.jpg
P_770_RO_.jpg,pituitary,train,train/pituitary/P_770_RO_.jpg
P_760_RO_.jpg,pituitary,train,train/pituitary/P_760_RO_.jpg
P_769_SP_.jpg,pituitary,train,train/pituitary/P_769_SP_.jpg
P_794_RO_.jpg,pituitary,train,train/pituitary/P_794_RO_.jpg
P_78_SP_.jpg,pituitary,train,train/pituitary/P_78_SP_.jpg
P_784_RO_.jpg,pituitary,train,train/pituitary/P_784_RO_.jpg
P_779_SP_.jpg,pituitary,train,train/pituitary/P_779_SP_.jpg
P_786.jpg,pituitary,train,train/pituitary/P_786.jpg
P_792.jpg,pituitary,train,train/pituitary/P_792.jpg
P_723_VF_.jpg,pituitary,train,train/pituitary/P_723_VF_.jpg
Tr-pi_1020.jpg,pituitary,train,train/pituitary/Tr-pi_1020.jpg
Tr-pi_0458.jpg,pituitary,train,train/pituitary/Tr-pi_0458.jpg
P_831_DA_.jpg,pituitary,train,train/pituitary/P_831_DA_.jpg
P_779.jpg,pituitary,train,train/pituitary/P_779.jpg
P_733_VF_.jpg,pituitary,train,train/pituitary/P_733_VF_.jpg
P_821_DA_.jpg,pituitary,train,train/pituitary/P_821_DA_.jpg
Tr-pi_1034.jpg,pituitary,train,train/pituitary/Tr-pi_1034.jpg
Tr-pi_0302.jpg,pituitary,train,train/pituitary/Tr-pi_0302.jpg
P_815_BR_.jpg,pituitary,train,train/pituitary/P_815_BR_.jpg
P_745.jpg,pituitary,train,train/pituitary/P_745.jpg
Tr-pi_0464.jpg,pituitary,train,train/pituitary/Tr-pi_0464.jpg
Tr-pi_0470.jpg,pituitary,train,train/pituitary/Tr-pi_0470.jpg
P_751.jpg,pituitary,train,train/pituitary/P_751.jpg
P_805_BR_.jpg,pituitary,train,train/pituitary/P_805_BR_.jpg
Tr-pi_0316.jpg,pituitary,train,train/pituitary/Tr-pi_0316.jpg
Tr-pi_1008.jpg,pituitary,train,train/pituitary/Tr-pi_1008.jpg
Tr-pi_0699.jpg,pituitary,train,train/pituitary/Tr-pi_0699.jpg
P_760_BR_.jpg,pituitary,train,train/pituitary/P_760_BR_.jpg
Te-pi_0150.jpg,pituitary,train,train/pituitary/Te-pi_0150.jpg
Te-pi_0144.jpg,pituitary,train,train/pituitary/Te-pi_0144.jpg
P_71_BR_.jpg,pituitary,train,train/pituitary/P_71_BR_.jpg
p (508).jpg,pituitary,train,train/pituitary/p (508).jpg
P_770_BR_.jpg,pituitary,train,train/pituitary/P_770_BR_.jpg
P_744_DA_.jpg,pituitary,train,train/pituitary/P_744_DA_.jpg
Te-pi_0178.jpg,pituitary,train,train/pituitary/Te-pi_0178.jpg
P_754_DA_.jpg,pituitary,train,train/pituitary/P_754_DA_.jpg
Tr-pi_1222.jpg,pituitary,train,train/pituitary/Tr-pi_1222.jpg
Te-pi_0193.jpg,pituitary,train,train/pituitary/Te-pi_0193.jpg
Te-pi_0187.jpg,pituitary,train,train/pituitary/Te-pi_0187.jpg
Tr-pi_1236.jpg,pituitary,train,train/pituitary/Tr-pi_1236.jpg
Tr-pi_0128.jpg,pituitary,train,train/pituitary/Tr-pi_0128.jpg
Tr-pi_0666.jpg,pituitary,train,train/pituitary/Tr-pi_0666.jpg
Tr-pi_0100.jpg,pituitary,train,train/pituitary/Tr-pi_0100.jpg
Tr-pi_0114.jpg,pituitary,train,train/pituitary/Tr-pi_0114.jpg
Tr-pi_0672.jpg,pituitary,train,train/pituitary/Tr-pi_0672.jpg
1187.jpg,pituitary,train,train/pituitary/1187.jpg
Tr-pi_1395.jpg,pituitary,train,train/pituitary/Tr-pi_1395.jpg
Te-pi_0024.jpg,pituitary,train,train/pituitary/Te-pi_0024.jpg
Te-pi_0030.jpg,pituitary,train,train/pituitary/Te-pi_0030.jpg
1193.jpg,pituitary,train,train/pituitary/1193.jpg
Te-pi_0018.jpg,pituitary,train,train/pituitary/Te-pi_0018.jpg
P_84.jpg,pituitary,train,train/pituitary/P_84.jpg
P_834_VF_.jpg,pituitary,train,train/pituitary/P_834_VF_.jpg
P_726_DA_.jpg,pituitary,train,train/pituitary/P_726_DA_.jpg
Tr-pi_0048.jpg,pituitary,train,train/pituitary/Tr-pi_0048.jpg
Tr-pi_1356.jpg,pituitary,train,train/pituitary/Tr-pi_1356.jpg
P_809_HF_.jpg,pituitary,train,train/pituitary/P_809_HF_.jpg
P_824_VF_.jpg,pituitary,train,train/pituitary/P_824_VF_.jpg
Tr-pi_1342.jpg,pituitary,train,train/pituitary/Tr-pi_1342.jpg
P_819_HF_.jpg,pituitary,train,train/pituitary/P_819_HF_.jpg
P_736_DA_.jpg,pituitary,train,train/pituitary/P_736_DA_.jpg
Tr-pi_0712.jpg,pituitary,train,train/pituitary/Tr-pi_0712.jpg
1178.jpg,pituitary,train,train/pituitary/1178.jpg
P_712_BR_.jpg,pituitary,train,train/pituitary/P_712_BR_.jpg
Tr-pi_0706.jpg,pituitary,train,train/pituitary/Tr-pi_0706.jpg
Tr-pi_0289.jpg,pituitary,train,train/pituitary/Tr-pi_0289.jpg
Tr-pi_1197.jpg,pituitary,train,train/pituitary/Tr-pi_1197.jpg
P_816.jpg,pituitary,train,train/pituitary/P_816.jpg
P_802.jpg,pituitary,train,train/pituitary/P_802.jpg
p (549).jpg,pituitary,train,train/pituitary/p (549).jpg
Tr-pi_1183.jpg,pituitary,train,train/pituitary/Tr-pi_1183.jpg
P_741_VF_.jpg,pituitary,train,train/pituitary/P_741_VF_.jpg
P_751_VF_.jpg,pituitary,train,train/pituitary/P_751_VF_.jpg
P_843_DA_.jpg,pituitary,train,train/pituitary/P_843_DA_.jpg
Tr-pi_1154.jpg,pituitary,train,train/pituitary/Tr-pi_1154.jpg
Tr-pi_0538.jpg,pituitary,train,train/pituitary/Tr-pi_0538.jpg
Tr-pi_1140.jpg,pituitary,train,train/pituitary/Tr-pi_1140.jpg
Tr-pi_1168.jpg,pituitary,train,train/pituitary/Tr-pi_1168.jpg
Tr-pi_0276.jpg,pituitary,train,train/pituitary/Tr-pi_0276.jpg
Tr-pi_0510.jpg,pituitary,train,train/pituitary/Tr-pi_0510.jpg
Tr-pi_0504.jpg,pituitary,train,train/pituitary/Tr-pi_0504.jpg
Tr-pi_0262.jpg,pituitary,train,train/pituitary/Tr-pi_0262.jpg
Tr-pi_0512.jpg,pituitary,train,train/pituitary/Tr-pi_0512.jpg
Tr-pi_0274.jpg,pituitary,train,train/pituitary/Tr-pi_0274.jpg
Tr-pi_0260.jpg,pituitary,train,train/pituitary/Tr-pi_0260.jpg
Tr-pi_0506.jpg,pituitary,train,train/pituitary/Tr-pi_0506.jpg
Tr-pi_0248.jpg,pituitary,train,train/pituitary/Tr-pi_0248.jpg
Tr-pi_1156.jpg,pituitary,train,train/pituitary/Tr-pi_1156.jpg
Tr-pi_1142.jpg,pituitary,train,train/pituitary/Tr-pi_1142.jpg
P_828.jpg,pituitary,train,train/pituitary/P_828.jpg
P_841_BR_.jpg,pituitary,train,train/pituitary/P_841_BR_.jpg
P_767_VF_.jpg,pituitary,train,train/pituitary/P_767_VF_.jpg
P_814.jpg,pituitary,train,train/pituitary/P_814.jpg
p (494).jpg,pituitary,train,train/pituitary/p (494).jpg
Tr-pi_1195.jpg,pituitary,train,train/pituitary/Tr-pi_1195.jpg
Tr-pi_1181.jpg,pituitary,train,train/pituitary/Tr-pi_1181.jpg
P_777_VF_.jpg,pituitary,train,train/pituitary/P_777_VF_.jpg
P_800.jpg,pituitary,train,train/pituitary/P_800.jpg
P_76_VF_.jpg,pituitary,train,train/pituitary/P_76_VF_.jpg
P_812_VF_.jpg,pituitary,train,train/pituitary/P_812_VF_.jpg
Tr-pi_1368.jpg,pituitary,train,train/pituitary/Tr-pi_1368.jpg
P_7_BR_.jpg,pituitary,train,train/pituitary/P_7_BR_.jpg
Tr-pi_0710.jpg,pituitary,train,train/pituitary/Tr-pi_0710.jpg
Tr-pi_0704.jpg,pituitary,train,train/pituitary/Tr-pi_0704.jpg
P_802_VF_.jpg,pituitary,train,train/pituitary/P_802_VF_.jpg
P_710_DA_.jpg,pituitary,train,train/pituitary/P_710_DA_.jpg
P_79.jpg,pituitary,train,train/pituitary/P_79.jpg
Tr-pi_1354.jpg,pituitary,train,train/pituitary/Tr-pi_1354.jpg
P_724_BR_.jpg,pituitary,train,train/pituitary/P_724_BR_.jpg
Tr-pi_0738.jpg,pituitary,train,train/pituitary/Tr-pi_0738.jpg
P_734_BR_.jpg,pituitary,train,train/pituitary/P_734_BR_.jpg
Tr-pi_0089.jpg,pituitary,train,train/pituitary/Tr-pi_0089.jpg
Te-pi_0026.jpg,pituitary,train,train/pituitary/Te-pi_0026.jpg
Tr-pi_1397.jpg,pituitary,train,train/pituitary/Tr-pi_1397.jpg
1185.jpg,pituitary,train,train/pituitary/1185.jpg
P_769_RO_.jpg,pituitary,train,train/pituitary/P_769_RO_.jpg
P_794_SP_.jpg,pituitary,train,train/pituitary/P_794_SP_.jpg
1191.jpg,pituitary,train,train/pituitary/1191.jpg
P_78_RO_.jpg,pituitary,train,train/pituitary/P_78_RO_.jpg
p (569).jpg,pituitary,train,train/pituitary/p (569).jpg
P_784_SP_.jpg,pituitary,train,train/pituitary/P_784_SP_.jpg
P_779_RO_.jpg,pituitary,train,train/pituitary/P_779_RO_.jpg
Te-pi_0032.jpg,pituitary,train,train/pituitary/Te-pi_0032.jpg
Tr-pi_0102.jpg,pituitary,train,train/pituitary/Tr-pi_0102.jpg
Tr-pi_0664.jpg,pituitary,train,train/pituitary/Tr-pi_0664.jpg
Tr-pi_0670.jpg,pituitary,train,train/pituitary/Tr-pi_0670.jpg
Tr-pi_0116.jpg,pituitary,train,train/pituitary/Tr-pi_0116.jpg
Tr-pi_1208.jpg,pituitary,train,train/pituitary/Tr-pi_1208.jpg
Te-pi_0191.jpg,pituitary,train,train/pituitary/Te-pi_0191.jpg
Tr-pi_1220.jpg,pituitary,train,train/pituitary/Tr-pi_1220.jpg
Tr-pi_0658.jpg,pituitary,train,train/pituitary/Tr-pi_0658.jpg
Tr-pi_1234.jpg,pituitary,train,train/pituitary/Tr-pi_1234.jpg
Te-pi_0185.jpg,pituitary,train,train/pituitary/Te-pi_0185.jpg
P_80_HF_.jpg,pituitary,train,train/pituitary/P_80_HF_.jpg
P_781_HF_.jpg,pituitary,train,train/pituitary/P_781_HF_.jpg
P_746_BR_.jpg,pituitary,train,train/pituitary/P_746_BR_.jpg
P_756_BR_.jpg,pituitary,train,train/pituitary/P_756_BR_.jpg
p (590).jpg,pituitary,train,train/pituitary/p (590).jpg
P_791_HF_.jpg,pituitary,train,train/pituitary/P_791_HF_.jpg
Te-pi_0152.jpg,pituitary,train,train/pituitary/Te-pi_0152.jpg
P_762_DA_.jpg,pituitary,train,train/pituitary/P_762_DA_.jpg
P_73_DA_.jpg,pituitary,train,train/pituitary/P_73_DA_.jpg
Te-pi_0146.jpg,pituitary,train,train/pituitary/Te-pi_0146.jpg
P_772_DA_.jpg,pituitary,train,train/pituitary/P_772_DA_.jpg
Tr-pi_0466.jpg,pituitary,train,train/pituitary/Tr-pi_0466.jpg
P_747.jpg,pituitary,train,train/pituitary/P_747.jpg
P_705_VF_.jpg,pituitary,train,train/pituitary/P_705_VF_.jpg
P_817_DA_.jpg,pituitary,train,train/pituitary/P_817_DA_.jpg
P_738_HF_.jpg,pituitary,train,train/pituitary/P_738_HF_.jpg
Tr-pi_0300.jpg,pituitary,train,train/pituitary/Tr-pi_0300.jpg
p (601).jpg,pituitary,train,train/pituitary/p (601).jpg
Tr-pi_0314.jpg,pituitary,train,train/pituitary/Tr-pi_0314.jpg
P_715_VF_.jpg,pituitary,train,train/pituitary/P_715_VF_.jpg
P_753.jpg,pituitary,train,train/pituitary/P_753.jpg
P_728_HF_.jpg,pituitary,train,train/pituitary/P_728_HF_.jpg
Tr-pi_0472.jpg,pituitary,train,train/pituitary/Tr-pi_0472.jpg
P_807_DA_.jpg,pituitary,train,train/pituitary/P_807_DA_.jpg
Tr-pi_1022.jpg,pituitary,train,train/pituitary/Tr-pi_1022.jpg
P_833_BR_.jpg,pituitary,train,train/pituitary/P_833_BR_.jpg
Tr-pi_1036.jpg,pituitary,train,train/pituitary/Tr-pi_1036.jpg
Tr-pi_0328.jpg,pituitary,train,train/pituitary/Tr-pi_0328.jpg
P_823_BR_.jpg,pituitary,train,train/pituitary/P_823_BR_.jpg
P_784.jpg,pituitary,train,train/pituitary/P_784.jpg
P_790.jpg,pituitary,train,train/pituitary/P_790.jpg
Tr-pi_0499.jpg,pituitary,train,train/pituitary/Tr-pi_0499.jpg
p (482).jpg,pituitary,train,train/pituitary/p (482).jpg
p (528).jpg,pituitary,train,train/pituitary/p (528).jpg
Tr-pi_0498.jpg,pituitary,train,train/pituitary/Tr-pi_0498.jpg
P_791.jpg,pituitary,train,train/pituitary/P_791.jpg
P_756_RO_.jpg,pituitary,train,train/pituitary/P_756_RO_.jpg
P_785.jpg,pituitary,train,train/pituitary/P_785.jpg
P_746_RO_.jpg,pituitary,train,train/pituitary/P_746_RO_.jpg
Tr-pi_0329.jpg,pituitary,train,train/pituitary/Tr-pi_0329.jpg
Tr-pi_1037.jpg,pituitary,train,train/pituitary/Tr-pi_1037.jpg
P_810_HF_.jpg,pituitary,train,train/pituitary/P_810_HF_.jpg
p (553).jpg,pituitary,train,train/pituitary/p (553).jpg
Tr-pi_1023.jpg,pituitary,train,train/pituitary/Tr-pi_1023.jpg
P_800_HF_.jpg,pituitary,train,train/pituitary/P_800_HF_.jpg
Tr-pi_0315.jpg,pituitary,train,train/pituitary/Tr-pi_0315.jpg
Tr-pi_0473.jpg,pituitary,train,train/pituitary/Tr-pi_0473.jpg
P_752.jpg,pituitary,train,train/pituitary/P_752.jpg
P_746.jpg,pituitary,train,train/pituitary/P_746.jpg
Tr-pi_0467.jpg,pituitary,train,train/pituitary/Tr-pi_0467.jpg
Tr-pi_0301.jpg,pituitary,train,train/pituitary/Tr-pi_0301.jpg
P_786_DA_.jpg,pituitary,train,train/pituitary/P_786_DA_.jpg
Te-pi_0147.jpg,pituitary,train,train/pituitary/Te-pi_0147.jpg
Te-pi_0153.jpg,pituitary,train,train/pituitary/Te-pi_0153.jpg
P_796_DA_.jpg,pituitary,train,train/pituitary/P_796_DA_.jpg
P_758_VF_.jpg,pituitary,train,train/pituitary/P_758_VF_.jpg
P_765_HF_.jpg,pituitary,train,train/pituitary/P_765_HF_.jpg
P_74_HF_.jpg,pituitary,train,train/pituitary/P_74_HF_.jpg
P_748_VF_.jpg,pituitary,train,train/pituitary/P_748_VF_.jpg
P_775_HF_.jpg,pituitary,train,train/pituitary/P_775_HF_.jpg
p (504).jpg,pituitary,train,train/pituitary/p (504).jpg
P_823_RO_.jpg,pituitary,train,train/pituitary/P_823_RO_.jpg
Tr-pi_1235.jpg,pituitary,train,train/pituitary/Tr-pi_1235.jpg
Te-pi_0184.jpg,pituitary,train,train/pituitary/Te-pi_0184.jpg
Te-pi_0190.jpg,pituitary,train,train/pituitary/Te-pi_0190.jpg
Tr-pi_1221.jpg,pituitary,train,train/pituitary/Tr-pi_1221.jpg
P_833_RO_.jpg,pituitary,train,train/pituitary/P_833_RO_.jpg
Tr-pi_0659.jpg,pituitary,train,train/pituitary/Tr-pi_0659.jpg
Tr-pi_0671.jpg,pituitary,train,train/pituitary/Tr-pi_0671.jpg
Tr-pi_1209.jpg,pituitary,train,train/pituitary/Tr-pi_1209.jpg
Tr-pi_0117.jpg,pituitary,train,train/pituitary/Tr-pi_0117.jpg
P_712_SP_.jpg,pituitary,train,train/pituitary/P_712_SP_.jpg
Tr-pi_0103.jpg,pituitary,train,train/pituitary/Tr-pi_0103.jpg
Tr-pi_0665.jpg,pituitary,train,train/pituitary/Tr-pi_0665.jpg
1190.jpg,pituitary,train,train/pituitary/1190.jpg
P_71_SP_.jpg,pituitary,train,train/pituitary/P_71_SP_.jpg
Te-pi_0033.jpg,pituitary,train,train/pituitary/Te-pi_0033.jpg
P_770_SP_.jpg,pituitary,train,train/pituitary/P_770_SP_.jpg
Te-pi_0027.jpg,pituitary,train,train/pituitary/Te-pi_0027.jpg
Tr-pi_1396.jpg,pituitary,train,train/pituitary/Tr-pi_1396.jpg
Tr-pi_0088.jpg,pituitary,train,train/pituitary/Tr-pi_0088.jpg
P_760_SP_.jpg,pituitary,train,train/pituitary/P_760_SP_.jpg
1184.jpg,pituitary,train,train/pituitary/1184.jpg
P_841_RO_.jpg,pituitary,train,train/pituitary/P_841_RO_.jpg
Tr-pi_0739.jpg,pituitary,train,train/pituitary/Tr-pi_0739.jpg
P_828_DA_.jpg,pituitary,train,train/pituitary/P_828_DA_.jpg
Tr-pi_1355.jpg,pituitary,train,train/pituitary/Tr-pi_1355.jpg
P_78.jpg,pituitary,train,train/pituitary/P_78.jpg
P_717_HF_.jpg,pituitary,train,train/pituitary/P_717_HF_.jpg
p (512).jpg,pituitary,train,train/pituitary/p (512).jpg
P_838_DA_.jpg,pituitary,train,train/pituitary/P_838_DA_.jpg
Tr-pi_0705.jpg,pituitary,train,train/pituitary/Tr-pi_0705.jpg
Tr-pi_1369.jpg,pituitary,train,train/pituitary/Tr-pi_1369.jpg
Tr-pi_0711.jpg,pituitary,train,train/pituitary/Tr-pi_0711.jpg
P_783_VF_.jpg,pituitary,train,train/pituitary/P_783_VF_.jpg
P_78_BR_.jpg,pituitary,train,train/pituitary/P_78_BR_.jpg
Tr-pi_1180.jpg,pituitary,train,train/pituitary/Tr-pi_1180.jpg
P_82_VF_.jpg,pituitary,train,train/pituitary/P_82_VF_.jpg
P_801.jpg,pituitary,train,train/pituitary/P_801.jpg
P_779_BR_.jpg,pituitary,train,train/pituitary/P_779_BR_.jpg
P_815.jpg,pituitary,train,train/pituitary/P_815.jpg
P_793_VF_.jpg,pituitary,train,train/pituitary/P_793_VF_.jpg
P_769_BR_.jpg,pituitary,train,train/pituitary/P_769_BR_.jpg
Tr-pi_1194.jpg,pituitary,train,train/pituitary/Tr-pi_1194.jpg
P_829.jpg,pituitary,train,train/pituitary/P_829.jpg
Tr-pi_1143.jpg,pituitary,train,train/pituitary/Tr-pi_1143.jpg
p (545).jpg,pituitary,train,train/pituitary/p (545).jpg
P_734_RO_.jpg,pituitary,train,train/pituitary/P_734_RO_.jpg
P_724_RO_.jpg,pituitary,train,train/pituitary/P_724_RO_.jpg
Tr-pi_1157.jpg,pituitary,train,train/pituitary/Tr-pi_1157.jpg
Tr-pi_0249.jpg,pituitary,train,train/pituitary/Tr-pi_0249.jpg
Tr-pi_0261.jpg,pituitary,train,train/pituitary/Tr-pi_0261.jpg
Tr-pi_0507.jpg,pituitary,train,train/pituitary/Tr-pi_0507.jpg
P_805_SP_.jpg,pituitary,train,train/pituitary/P_805_SP_.jpg
Tr-pi_0513.jpg,pituitary,train,train/pituitary/Tr-pi_0513.jpg
P_815_SP_.jpg,pituitary,train,train/pituitary/P_815_SP_.jpg
Tr-pi_0275.jpg,pituitary,train,train/pituitary/Tr-pi_0275.jpg
P_7_RO_.jpg,pituitary,train,train/pituitary/P_7_RO_.jpg
Tr-pi_1153.jpg,pituitary,train,train/pituitary/Tr-pi_1153.jpg
p (544).jpg,pituitary,train,train/pituitary/p (544).jpg
P_735_BR_.jpg,pituitary,train,train/pituitary/P_735_BR_.jpg
P_725_BR_.jpg,pituitary,train,train/pituitary/P_725_BR_.jpg
Tr-pi_0259.jpg,pituitary,train,train/pituitary/Tr-pi_0259.jpg
Tr-pi_1147.jpg,pituitary,train,train/pituitary/Tr-pi_1147.jpg
P_711_DA_.jpg,pituitary,train,train/pituitary/P_711_DA_.jpg
Tr-pi_0271.jpg,pituitary,train,train/pituitary/Tr-pi_0271.jpg
Tr-pi_0517.jpg,pituitary,train,train/pituitary/Tr-pi_0517.jpg
P_803_VF_.jpg,pituitary,train,train/pituitary/P_803_VF_.jpg
Tr-pi_0503.jpg,pituitary,train,train/pituitary/Tr-pi_0503.jpg
Tr-pi_0265.jpg,pituitary,train,train/pituitary/Tr-pi_0265.jpg
P_813_VF_.jpg,pituitary,train,train/pituitary/P_813_VF_.jpg
P_785_SP_.jpg,pituitary,train,train/pituitary/P_785_SP_.jpg
P_778_RO_.jpg,pituitary,train,train/pituitary/P_778_RO_.jpg
Tr-pi_1190.jpg,pituitary,train,train/pituitary/Tr-pi_1190.jpg
P_79_RO_.jpg,pituitary,train,train/pituitary/P_79_RO_.jpg
P_811.jpg,pituitary,train,train/pituitary/P_811.jpg
P_768_RO_.jpg,pituitary,train,train/pituitary/P_768_RO_.jpg
P_805.jpg,pituitary,train,train/pituitary/P_805.jpg
P_795_SP_.jpg,pituitary,train,train/pituitary/P_795_SP_.jpg
Tr-pi_1184.jpg,pituitary,train,train/pituitary/Tr-pi_1184.jpg
P_839.jpg,pituitary,train,train/pituitary/P_839.jpg
Te-pi_0209.jpg,pituitary,train,train/pituitary/Te-pi_0209.jpg
Tr-pi_0729.jpg,pituitary,train,train/pituitary/Tr-pi_0729.jpg
Tr-pi_1351.jpg,pituitary,train,train/pituitary/Tr-pi_1351.jpg
Tr-pi_1345.jpg,pituitary,train,train/pituitary/Tr-pi_1345.jpg
p (513).jpg,pituitary,train,train/pituitary/p (513).jpg
Tr-pi_0715.jpg,pituitary,train,train/pituitary/Tr-pi_0715.jpg
Tr-pi_0701.jpg,pituitary,train,train/pituitary/Tr-pi_0701.jpg
1180.jpg,pituitary,train,train/pituitary/1180.jpg
P_77_VF_.jpg,pituitary,train,train/pituitary/P_77_VF_.jpg
Tr-pi_1392.jpg,pituitary,train,train/pituitary/Tr-pi_1392.jpg
Te-pi_0023.jpg,pituitary,train,train/pituitary/Te-pi_0023.jpg
